"id","journal_date","description","user_id","financial_year","type","createdAt","updatedAt"
135,"2024-05-10T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
136,"2024-05-10T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
137,"2024-05-10T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
138,"2024-05-10T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
139,"2024-05-10T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
140,"2024-05-10T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
141,"2024-05-11T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
142,"2024-05-11T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
143,"2024-05-11T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
144,"2024-05-11T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
145,"2024-05-11T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
146,"2024-05-11T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
147,"2024-05-11T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
148,"2024-05-11T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
149,"2024-05-11T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
150,"2024-05-11T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
151,"2024-05-14T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
152,"2024-05-14T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
153,"2024-05-14T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
154,"2024-05-14T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
155,"2024-05-14T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
156,"2024-05-14T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
157,"2024-05-14T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
158,"2024-05-15T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
159,"2024-05-15T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
160,"2024-05-15T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
161,"2024-05-15T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
162,"2024-05-15T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
163,"2024-05-15T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
164,"2024-05-15T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
165,"2024-05-15T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
325,"2024-05-28T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
167,"2024-05-15T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
166,"2024-05-15T00:00:00.000Z","Sale Update",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
168,"2024-05-15T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
169,"2024-05-15T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
171,"2024-05-15T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
172,"2024-05-15T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
173,"2024-05-15T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
174,"2024-05-15T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
175,"2024-05-16T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
176,"2024-05-16T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
177,"2024-05-16T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
178,"2024-05-16T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
179,"2024-05-16T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
180,"2024-05-16T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
181,"2024-05-16T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
182,"2024-05-16T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
183,"2024-05-16T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
184,"2024-05-16T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
185,"2024-05-16T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
186,"2024-05-16T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
187,"2024-05-16T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
188,"2024-05-16T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
189,"2024-05-16T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
190,"2024-05-16T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
191,"2024-05-16T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
192,"2024-05-16T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
193,"2024-05-16T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
195,"2024-05-16T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
196,"2024-05-16T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
197,"2024-05-16T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
198,"2024-05-16T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
199,"2024-05-16T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
200,"2024-05-16T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
201,"2024-05-16T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
202,"2024-05-16T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
203,"2024-05-17T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
204,"2024-05-17T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
