"id","name","gst_no","user_id","credit_balance","debit_balance","financial_year","isDealer","type","createdAt","updatedAt"
330,KUMAR GENERAL STORES,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
332,A.VENKATESWARA RAO,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
266,Sri Sainadha Medicls,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
280,Yashwanth Kirana Merchant,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
288,Sri Lakshmi Ganapathi Kirana General Stores,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
298,Ravikindi Nageswara Rao Rice & G/M,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
299,Sri Hemalatha Fancy & General Stores,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
304,Jyothi Labs Ltd,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
306,Sri Venkata Siva Sai Kirana General Stores,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
308,Sri Hanuman General Mearchant,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
329,Lucky Medical & Fancy,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
331,Ramanjaneya General Merchant,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
333,VINDO MEDICAL & GENERAL STORE,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
334,SAI TEJA MEDICALS & FANCY STORES,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
336,SRI VENKATACHALA GENERAL STORES,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
337,BHASKAR FANCY STORES,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
