"id","category_id","entry_date","account_id","item_id","quantity","unit_price","total_amount","value","user_id","financial_year","unit_id","journal_id","type","createdAt","updatedAt"
87,18,"2024-05-06T00:00:00.000Z",241,10,"1","799.54","943.4572","799.54",9,"2024-2025",12,87,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
88,19,"2024-05-07T00:00:00.000Z",242,11,"1","3510","3510","3510.00",9,"2024-2025",12,88,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
89,16,"2024-05-07T00:00:00.000Z",242,8,"1","1071.43","1125.0015","1071.43",9,"2024-2025",12,89,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
90,16,"2024-05-07T00:00:00.000Z",202,8,"1","682.67","716.8035","682.67",9,"2024-2025",12,90,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
91,16,"2024-05-07T00:00:00.000Z",209,8,"1","52714.29","55350.0045","52714.29",9,"2024-2025",12,91,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
92,19,"2024-05-07T00:00:00.000Z",230,11,"1","5550","5550","5550.00",9,"2024-2025",12,92,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
93,17,"2024-05-07T00:00:00.000Z",243,9,"1","1936.41","2168.7792","1936.41",9,"2024-2025",12,93,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
94,18,"2024-05-07T00:00:00.000Z",244,10,"1","3864.79","4560.4522","3864.79",9,"2024-2025",12,94,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
95,18,"2024-05-07T00:00:00.000Z",196,10,"1","1979.19","2335.4442","1979.19",9,"2024-2025",12,95,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
96,19,"2024-05-08T00:00:00.000Z",206,11,"1","10470","10470","10470.00",9,"2024-2025",12,96,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
97,18,"2024-05-08T00:00:00.000Z",245,10,"1","2780.09","3280.5062000000003","2780.09",9,"2024-2025",12,97,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
98,18,"2024-05-08T00:00:00.000Z",233,10,"1","5903.65","6966.307","5903.65",9,"2024-2025",12,98,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
99,16,"2024-05-08T00:00:00.000Z",246,8,"1","1600","1680","1600.00",9,"2024-2025",12,99,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
100,19,"2024-05-08T00:00:00.000Z",247,11,"1","3480","3480","3480.00",9,"2024-2025",12,100,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
101,18,"2024-05-08T00:00:00.000Z",247,10,"1","2059.15","2429.797","2059.15",9,"2024-2025",12,101,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
102,17,"2024-05-08T00:00:00.000Z",248,9,"1","5341.66","5982.6592","5341.66",9,"2024-2025",12,102,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
103,18,"2024-05-08T00:00:00.000Z",249,10,"1","2734.32","3226.4976","2734.32",9,"2024-2025",12,103,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
104,16,"2024-05-08T00:00:00.000Z",250,8,"1","552.38","579.999","552.38",9,"2024-2025",12,104,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
105,18,"2024-05-08T00:00:00.000Z",197,10,"1","1983.05","2339.999","1983.05",9,"2024-2025",12,105,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
106,16,"2024-05-08T00:00:00.000Z",198,8,"1","3714.29","3900.0045","3714.29",9,"2024-2025",12,106,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
107,19,"2024-05-08T00:00:00.000Z",252,11,"1","3480","3480","3480.00",9,"2024-2025",12,107,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
108,18,"2024-05-08T00:00:00.000Z",202,10,"1","1484.57","1751.7926","1484.57",9,"2024-2025",12,108,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
109,16,"2024-05-08T00:00:00.000Z",235,8,"1","3200","3360","3200.00",9,"2024-2025",12,109,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
110,18,"2024-05-09T00:00:00.000Z",232,10,"1","2396.65","2828.047","2396.65",9,"2024-2025",12,110,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
111,18,"2024-05-09T00:00:00.000Z",254,10,"1","5235.07","6177.3826","5235.07",9,"2024-2025",12,111,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
112,17,"2024-05-09T00:00:00.000Z",239,9,"1","7779.54","8713.0848","7779.54",9,"2024-2025",12,112,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
113,18,"2024-05-09T00:00:00.000Z",255,10,"1","1997.08","2356.5544","1997.08",9,"2024-2025",12,113,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
114,17,"2024-05-09T00:00:00.000Z",256,9,"1","1199.29","1343.2048","1199.29",9,"2024-2025",12,114,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
115,17,"2024-05-09T00:00:00.000Z",198,9,"1","3959.68","4434.8416","3959.68",9,"2024-2025",12,115,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
116,18,"2024-05-09T00:00:00.000Z",210,10,"1","461.43","544.4874","461.43",9,"2024-2025",12,116,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
117,17,"2024-05-09T00:00:00.000Z",257,9,"1","6010.54","6731.8048","6010.54",9,"2024-2025",12,117,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
118,18,"2024-05-09T00:00:00.000Z",257,10,"1","5000.64","5900.7552000000005","5000.64",9,"2024-2025",12,118,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
119,18,"2024-05-09T00:00:00.000Z",255,10,"1","1931.19","2278.8042","1931.19",9,"2024-2025",12,119,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
120,19,"2024-05-10T00:00:00.000Z",258,11,"1","1090","1090","1090.00",9,"2024-2025",12,120,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
121,17,"2024-05-10T00:00:00.000Z",258,9,"1","5288.53","5923.1536","5288.53",9,"2024-2025",12,121,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
122,17,"2024-05-10T00:00:00.000Z",259,9,"1","2953.34","3307.7408","2953.34",9,"2024-2025",12,122,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
123,18,"2024-05-10T00:00:00.000Z",259,10,"1","4428.64","5225.7952000000005","4428.64",9,"2024-2025",12,123,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
124,19,"2024-05-10T00:00:00.000Z",260,11,"1","1620","1620","1620.00",9,"2024-2025",12,124,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
125,16,"2024-05-10T00:00:00.000Z",216,8,"1","1645.71","1727.9955","1645.71",9,"2024-2025",12,125,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
126,18,"2024-05-10T00:00:00.000Z",262,10,"1","1780.14","2100.5652","1780.14",9,"2024-2025",12,126,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
127,18,"2024-05-10T00:00:00.000Z",234,10,"1","1545.76","1823.9968","1545.76",9,"2024-2025",12,127,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
128,17,"2024-05-10T00:00:00.000Z",223,9,"1","1087.39","1217.8768","1087.39",9,"2024-2025",12,128,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
129,18,"2024-05-10T00:00:00.000Z",223,10,"1","3066.01","3617.8918000000003","3066.01",9,"2024-2025",12,129,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
130,19,"2024-05-10T00:00:00.000Z",200,11,"1","850","850","850.00",9,"2024-2025",12,130,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
131,18,"2024-05-10T00:00:00.000Z",200,10,"1","838.98","989.9964","838.98",9,"2024-2025",12,131,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
132,19,"2024-05-10T00:00:00.000Z",239,11,"1","4500","4500","4500.00",9,"2024-2025",12,132,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
133,18,"2024-05-10T00:00:00.000Z",239,10,"1","2796.61","3299.9998","2796.61",9,"2024-2025",12,133,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
134,19,"2024-05-10T00:00:00.000Z",224,11,"1","2550","2550","2550.00",9,"2024-2025",12,134,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
135,19,"2024-05-10T00:00:00.000Z",203,11,"1","3425","3425","3425.00",9,"2024-2025",12,135,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
136,18,"2024-05-10T00:00:00.000Z",202,10,"1","85.42","100.79560000000001","85.42",9,"2024-2025",12,136,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
137,18,"2024-05-10T00:00:00.000Z",249,10,"1","833.9","984.002","833.90",9,"2024-2025",12,137,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
138,18,"2024-05-10T00:00:00.000Z",221,10,"1","1525.42","1799.9956000000002","1525.42",9,"2024-2025",12,138,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
139,18,"2024-05-10T00:00:00.000Z",263,10,"1","2547.13","3005.6134","2547.13",9,"2024-2025",12,139,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
140,16,"2024-05-10T00:00:00.000Z",202,8,"1","533.33","559.9965000000001","533.33",9,"2024-2025",12,140,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
141,18,"2024-05-11T00:00:00.000Z",231,10,"1","5161.98","6091.136399999999","5161.98",9,"2024-2025",12,141,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
142,19,"2024-05-11T00:00:00.000Z",202,11,"1","5040","5040","5040.00",9,"2024-2025",12,142,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
143,16,"2024-05-11T00:00:00.000Z",202,8,"1","1040","1092","1040.00",9,"2024-2025",12,143,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
144,17,"2024-05-11T00:00:00.000Z",202,9,"1","167.94","188.0928","167.94",9,"2024-2025",12,144,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
145,18,"2024-05-11T00:00:00.000Z",202,10,"1","1127.52","1330.4736","1127.52",9,"2024-2025",12,145,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
146,17,"2024-05-11T00:00:00.000Z",209,9,"1","22131.9","24787.728000000003","22131.90",9,"2024-2025",12,146,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
